id,game,event_type,created_at,team_name,player_name,related_player_name,result,minute,extra_minute,previous_player_event,previous_player_event_at,seconds_after_previous_event,player_id,related_player_id,participant_id,fixture_id,Stadium,City,Country,Latitude,Longitude
116213644,Romania vs Ukraine (2024-06-17),Substitution,27:00.0,Romania,Bogdan Racovițan,Nicolae Stanciu,,87,0,,,,31616427,62905,18638,19032635,Olympiastadion,Berlin,Germany,52.5146,13.2394
116213524,Romania vs Ukraine (2024-06-17),Substitution,02:00.0,Ukraine,Volodymyr Brazhko,Taras Stepanenko,,62,0,,,,24065258,204483,18624,19032635,Allianz Arena,Munich,Germany,48.2188,11.6247
116213531,Romania vs Ukraine (2024-06-17),Substitution,02:00.0,Romania,Valentin Mihăilă,Florinel Coman,,62,0,,,,6013442,165479,18638,19032635,Signal Iduna Park,Dortmund,Germany,51.4929,7.4516
116213571,Romania vs Ukraine (2024-06-17),Yellowcard,07:00.0,Ukraine,Yukhym Konoplya,,,67,0,,,,4545319,,18624,19032635,Volksparkstadion,Hamburg,Germany,53.587,9.8986
116213583,Romania vs Ukraine (2024-06-17),Substitution,12:00.0,Ukraine,Oleksandr Tymchyk,Yukhym Konoplya,,72,0,,,,206981,4545319,18624,19032635,Mercedes-Benz Arena,Stuttgart,Germany,48.7928,9.232
116213533,Romania vs Ukraine (2024-06-17),Substitution,02:00.0,Ukraine,Roman Yaremchuk,Mykola Shaparenko,,62,0,,,,205933,205964,18624,19032635,Red Bull Arena,Leipzig,Germany,51.3455,12.348
116213534,Romania vs Ukraine (2024-06-17),Substitution,02:00.0,Ukraine,Andriy Yarmolenko,Viktor Tsygankov,,62,0,,,,204697,205635,18624,19032635,Deutsche Bank Park,Frankfurt,Germany,50.0684,8.6456
116213507,Romania vs Ukraine (2024-06-17),Goal,57:00.0,Romania,Denis Drăguș,Dennis Man,Mar-00,57,0,,,,165648,165622,18638,19032635,Merkur Spiel-Arena,D�sseldorf,Germany,51.2611,6.7353
116213593,Romania vs Ukraine (2024-06-17),Substitution,15:00.0,Romania,George Pușcaș,Denis Drăguș,,75,0,,,,130192,165648,18638,19032635,RheinEnergieStadion,Cologne,Germany,50.9335,6.8758
116213525,Romania vs Ukraine (2024-06-17),Substitution,02:00.0,Romania,Ianis Hagi,Dennis Man,,62,0,,,,129857,165622,18638,19032635,Arena AufSchalke,Gelsenkirchen,Germany,51.5548,7.067
116213596,Romania vs Ukraine (2024-06-17),Substitution,15:00.0,Romania,Adrian Rus,Marius Marin,,75,0,,,,116888,133835,18638,19032635,,,,,
